Unused exports (146)
LEAD_KEYS          lib/badge.js:220:30     
clearBadge         lib/badge.js:220:75     
writeLead          lib/badge.js:220:87     
readLeads          lib/badge.js:220:98     
clearLead          lib/badge.js:220:109    
statements         lib/detail.js:533:5     
taskCalls          lib/detail.js:533:17    
stageCommands      lib/detail.js:533:28    
stageSequence      lib/detail.js:533:43    
backtracksOf       lib/detail.js:533:58    
largestRemainder   lib/detail.js:533:72    
contextPoints      lib/detail.js:534:5     
arrivals           lib/detail.js:534:20    
risesOf            lib/detail.js:534:30    
tasksOf            lib/detail.js:534:39    
cachePath          lib/detail.js:534:48    
transcriptOf       lib/detail.js:534:59    
keyOf              lib/detail.js:534:73    
detailOf           lib/detail.js:534:80    
parsePorcelain     lib/dirty.js:188:20     
dirtyPaths         lib/dirty.js:188:36     
writtenSince       lib/dirty.js:188:48     
PRESETS            lib/docs.js:410:5       
STATE_DIR          lib/docs.js:410:14      
read               lib/docs.js:410:25      
write              lib/docs.js:410:31      
normalise          lib/docs.js:410:38      
roleOf             lib/docs.js:410:49      
detect             lib/docs.js:410:57      
projectRootsFor    lib/docs.js:410:78      
contractOf         lib/docs.js:411:5       
statusKind         lib/docs.js:411:17      
verifiedAt         lib/docs.js:411:29      
claimsCurrent      lib/docs.js:411:41      
isGenerated        lib/docs.js:411:56      
isSignpost         lib/docs.js:411:69      
parseCase          lib/eval.js:144:20      
listValue          lib/eval.js:144:31      
toolCalls          lib/eval.js:144:42      
lastMessage        lib/eval.js:144:53      
costOf             lib/eval.js:144:66      
assistantText      lib/eval.js:144:74      
grade              lib/eval.js:144:89      
claimedFirst       lib/guard.js:222:58     
blockers           lib/guard.js:222:72     
reasonFor          lib/guard.js:222:82     
ledgerPath         lib/ledger.js:127:20    
header             lib/ledger.js:127:32    
owns               lib/ledger.js:127:40    
completed          lib/ledger.js:127:46    
completions        lib/ledger.js:127:57    
completionLine     lib/ledger.js:127:70    
isRange            lib/ledger.js:127:86    
rulingLine         lib/ledger.js:127:95    
fixLine            lib/ledger.js:127:107   
fixes              lib/ledger.js:127:116   
init               lib/ledger.js:127:123   
append             lib/ledger.js:127:129   
runningSessions    lib/live.js:150:35      
runningIds         lib/live.js:150:52      
readLive           lib/live.js:150:64      
running            lib/live.js:150:82      
signpost           lib/map.js:434:32       
layoutBlock        lib/map.js:434:42       
markdownUnder      lib/map.js:434:70       
parsePlan          lib/plantasks.js:365:20 
proseConflicts     lib/plantasks.js:365:61 
surfaces           lib/plantasks.js:365:77 
missingInterfaces  lib/plantasks.js:365:87 
fences             lib/plantasks.js:365:106
lint               lib/plantasks.js:365:114
verified           lib/prices.js:48:20     
perMillion         lib/prices.js:48:30     
rateFor            lib/prices.js:48:42     
costOf             lib/prices.js:48:51     
projectFile        lib/profile.js:191:26   
machineFile        lib/profile.js:191:39   
configDirOf        lib/profile.js:191:52   
read               lib/profile.js:191:65   
write              lib/profile.js:191:71   
suggest            lib/profile.js:191:78   
landClause         lib/profile.js:191:87   
summary            lib/profile.js:191:99   
STALE_MS           lib/registry.js:724:5   
MAX_NOTES          lib/registry.js:725:5   
MAX_NOTE_LEN       lib/registry.js:726:5   
MAX_NEXT_LEN       lib/registry.js:727:5   
MAX_CLAIMS         lib/registry.js:728:5   
MAX_MOVES          lib/registry.js:729:5   
addNote            lib/registry.js:730:5   
burnOf             lib/registry.js:731:5   
clockOf            lib/registry.js:732:5   
waitedOf           lib/registry.js:733:5   
spendOf            lib/registry.js:734:5   
seriesOf           lib/registry.js:735:5   
returnsTo          lib/registry.js:736:5   
windowsFrom        lib/registry.js:737:5   
addClaim           lib/registry.js:740:5   
setNext            lib/registry.js:741:5   
launchRoot         lib/registry.js:744:5   
findStateRoot      lib/registry.js:745:5   
rootFor            lib/registry.js:747:5   
stateDir           lib/registry.js:748:5   
sessionPath        lib/registry.js:749:5   
readSession        lib/registry.js:750:5   
readAll            lib/registry.js:751:5   
readActive         lib/registry.js:752:5   
ensureLayout       lib/registry.js:753:5   
ensureIgnored      lib/registry.js:754:5   
renameRetrying     lib/registry.js:755:5   
writeSession       lib/registry.js:761:5   
update             lib/registry.js:762:5   
replace            lib/registry.js:763:5   
touch              lib/registry.js:764:5   
gateOpen           lib/registry.js:765:5   
gateClose          lib/registry.js:766:5   
updatedAt          lib/registry.js:767:5   
MAX_EVENTS         lib/replay.js:199:20    
eventsOf           lib/replay.js:199:32    
stepsOf            lib/replay.js:199:42    
tail               lib/replay.js:199:51    
discover           lib/station.js:553:20   
gather             lib/station.js:553:30   
render             lib/station.js:553:38   
serialize          lib/station.js:553:46   
serializeDetail    lib/station.js:553:57   
write              lib/station.js:553:74   
scanRoots          lib/station.js:553:81   
readRoots          lib/station.js:553:92   
rootsPath          lib/station.js:553:103  
rememberRoots      lib/station.js:553:114  
parseStaged        lib/tracked.js:397:42   
flatten            lib/tracked.js:397:55   
summarise          lib/usage.js:517:5      
agentsOf           lib/usage.js:517:16     
summariseTree      lib/usage.js:517:26     
spanOf             lib/usage.js:517:41     
agentFiles         lib/usage.js:517:49     
sessionDirOf       lib/usage.js:517:61     
entriesOf          lib/usage.js:518:5      
turnIndex          lib/usage.js:518:16     
textOf             lib/usage.js:518:27     
notificationOf     lib/usage.js:518:35     
dispatchesOf       lib/usage.js:518:51     
splitOf            lib/usage.js:518:65     
tokensOf           lib/usage.js:518:74     
