# provenance
HEAD: 983823ad38f4ffd65cc11ce9581e24a799714d0c
branch: spend-composition
tracked files dirty at generation: 0
command: node scripts/spend.js
prices: lib/prices.js, verified 2026-09-04
suite at this HEAD: npm test — 1655 tests, 1655 pass, 0 fail, exit 0
at: 2026-09-20T06:35:00Z

roots (station.discover): F:\MC_Server\MinecraftServer\00_Day_of_Killing_II_DEV\world\datapacks, F:\MC_Server\MinecraftServer\00_DeathArenaII_DEV\world\datapacks, F:\ymlab\EMU3000_Web, F:\ymlab\Latex\production, F:\ymlab\PaperResearcher, F:\ymlab\SBIR\ProjectWorkspace, F:\ymlab\School_ClassProjects\ESP32s3-pressure, F:\ymlab\School_ClassProjects\ccexp, F:\ymlab\claude-kit, F:\ymlab\fankeel, F:\ymlab\sec-test
11 registries, 311 session files scanned — 217 skipped (no spend), 0 unreadable, 94 priced

sessions
session	root	version	requests	own	agents	input	output	cacheRead	cacheWrite	usd	unpriced
2af84565-d089-43d7-a85f-68799f8447a0	F:\MC_Server\MinecraftServer\00_Day_of_Killing_II_DEV\world\datapacks	—	736	$43.51	$20.11	$0.00	$11.81	$41.18	$10.62	$63.62	—
7adf4bdb-f4fd-43bc-bf8d-925d242cf1f3	F:\MC_Server\MinecraftServer\00_Day_of_Killing_II_DEV\world\datapacks	—	947	$68.12	$24.22	$0.01	$16.21	$61.98	$14.14	$92.34	<synthetic>
40839801-0f03-4729-9813-faaf8ff55a05	F:\ymlab\SBIR\ProjectWorkspace	—	498	$101.20	$8.25	$0.00	$10.66	$87.78	$11.01	$109.45	—
64c2029b-2aa5-42f1-a7be-fa3e45d41ad0	F:\ymlab\SBIR\ProjectWorkspace	—	565	$103.18	$6.70	$0.00	$10.10	$81.42	$18.36	$109.88	<synthetic>
6c292aac-7844-4015-9340-a13d9759c6ce	F:\ymlab\SBIR\ProjectWorkspace	—	929	$120.60	$14.77	$0.01	$18.35	$96.46	$20.55	$135.37	—
6cb74012-f904-4592-9794-e50fd823c0c1	F:\ymlab\SBIR\ProjectWorkspace	—	308	$63.78	$2.02	$0.00	$8.20	$41.11	$16.48	$65.80	<synthetic>
85fb1533-846c-4bed-901f-7ac2483111be	F:\ymlab\SBIR\ProjectWorkspace	—	141	$18.59	$2.08	$0.00	$3.39	$13.00	$4.28	$20.67	—
cac5774f-b0ca-4ef1-8360-b97069d6db42	F:\ymlab\SBIR\ProjectWorkspace	—	274	$32.06	$3.75	$0.00	$5.71	$22.41	$7.68	$35.80	—
d60be191-d5ab-452f-a24e-dde0aad31022	F:\ymlab\SBIR\ProjectWorkspace	—	217	$50.23	$0.00	$0.00	$5.02	$39.28	$5.92	$50.23	—
e0e4ea99-b732-4dcb-89a3-028e85f163ea	F:\ymlab\SBIR\ProjectWorkspace	—	7056	$390.90	$390.35	$0.09	$113.14	$526.18	$141.85	$781.25	<synthetic>
