# .fankeel/sessions scanned: 180 entries, 0 unreadable (parse failures skipped and counted), 79 carry a spend field

## block 1: per-stage (every spend-bearing session, all buckets — filter on `bucket` for the long-task end)
session	version	requests	bucket	stage	from	to	who	usd	in	out	cacheR	cacheW
003af3fa	0.74.0	24	<50	survey	1789850347217	1789850556448	parent	0.3684	24	7991	607465	41725
003af3fa	0.74.0	24	<50	survey	1789850347217	1789850556448	agents	0.8125	24	10109	408581	56858
05de9a54	—	711	200-799	survey	1788904188972	1788904410716	parent	4.0081	56	42985	3209042	132870
05de9a54	—	711	200-799	survey	1788904188972	1788904410716	agents	1.5906	88	48313	2448776	247010
05de9a54	—	711	200-799	design	1788904785522	1788905010818	parent	2.1702	24	28152	2222099	35526
05de9a54	—	711	200-799	design	1788904785522	1788905010818	agents	0.5534	12	21004	430139	102922
05de9a54	—	711	200-799	plan	1788905374216	1788914581378	parent	6.6139	54	33719	6044296	274852
05de9a54	—	711	200-799	plan	1788905374216	1788914581378	agents	0.8331	28	37041	1222785	87249
05de9a54	—	711	200-799	build	1788916809543	1788923133352	parent	15.8535	142	87744	24114789	160178
05de9a54	—	711	200-799	build	1788916809543	1788923133352	agents	14.3491	796	435845	29285774	1652778
05de9a54	—	711	200-799	verify	1788921015073	1788923540309	parent	11.5548	82	48551	19059835	81071
05de9a54	—	711	200-799	verify	1788921015073	1788923540309	agents	3.1457	134	88044	5563995	460888
05de9a54	—	711	200-799	land	1788923891418	1788924011759	parent	0.9008	6	2859	1513936	7230
0e6bf834	—	867	800+	survey	1789153674323	1789154056028	parent	2.4172	294	26656	1309366	109466
0e6bf834	—	867	800+	survey	1789153674323	1789154056028	agents	0.5544	44	18291	808967	83831
0e6bf834	—	867	800+	design	1789154248812	1789154598632	parent	6.5389	512	120541	3486852	177942
0e6bf834	—	867	800+	design	1789154248812	1789154598632	agents	0.5441	30	24222	676102	66645
0e6bf834	—	867	800+	plan	1789156099565	1789156181754	parent	0.8133	36	6568	982079	15793
0e6bf834	—	867	800+	build	1789156256651	1789158833948	parent	12.0877	990	72239	18005189	127422
0e6bf834	—	867	800+	build	1789156256651	1789158833948	agents	9.6332	826	261548	21904166	1054102
0e6bf834	—	867	800+	verify	1789159026287	1789159794581	parent	4.4979	268	21106	6921766	50804
0e6bf834	—	867	800+	verify	1789159026287	1789159794581	agents	8.0616	484	336338	11105370	990479
0e6bf834	—	867	800+	audit	1789160027402	1789160672290	parent	2.9931	196	23821	4247465	27287
0e6bf834	—	867	800+	audit	1789160027402	1789160672290	agents	0.8314	32	47711	741450	82376
0e6bf834	—	867	800+	land	1789160849994	1789161298337	parent	4.1170	202	18825	6363321	46371
0e6bf834	—	867	800+	land	1789160849994	1789161298337	agents	0.7803	100	27454	1046893	118485
1239ca79	—	2263	800+	survey	1788814907484	1788815193253	parent	16.4080	234	129765	20779894	277279
1239ca79	—	2263	800+	survey	1788814907484	1788815193253	agents	1.4946	80	35962	2812249	228958
1239ca79	—	2263	800+	design	1788815424621	1788815424621	parent	7.2523	54	60507	9953002	76287
1239ca79	—	2263	800+	design	1788815424621	1788815424621	agents	0.5000	12	4472	436903	147145
1239ca79	—	2263	800+	plan	1788816547637	1788817175925	parent	10.0562	82	36338	17124888	58487
1239ca79	—	2263	800+	plan	1788816547637	1788817175925	agents	0.6930	54	15619	1720704	77012
1239ca79	—	2263	800+	build	1788817764296	1788853611564	parent	49.0385	256	136477	73373478	893858
1239ca79	—	2263	800+	build	1788817764296	1788853611564	agents	35.1937	1520	371500	104779735	3618022
1239ca79	—	2263	800+	verify	1788842524762	1788854331346	parent	43.8339	430	224697	67762065	433333
1239ca79	—	2263	800+	verify	1788842524762	1788854331346	agents	17.9667	1130	179699	55052707	2062764
1239ca79	—	2263	800+	audit	1788851885968	1788854969813	parent	18.1493	124	67966	30389687	125464
1239ca79	—	2263	800+	audit	1788851885968	1788854969813	agents	6.8832	456	78179	21360372	731350
1239ca79	—	2263	800+	land	1788855733629	1788856099063	parent	12.8994	80	29891	23325530	48892
1239ca79	—	2263	800+	land	1788855733629	1788856099063	agents	0.3919	14	10935	1160279	20206
13ebea34	—	4313	800+	survey	1789119069319	1789120495473	parent	5.1741	648	62446	3546640	183639
13ebea34	—	4313	800+	survey	1789119069319	1789120495473	agents	6.4381	446	230981	10892879	779517
13ebea34	—	4313	800+	design	1789120828797	1789126558491	parent	9.1162	1036	85421	11057472	144671
13ebea34	—	4313	800+	design	1789120828797	1789126558491	agents	43.0822	3922	585330	75772220	2666033
13ebea34	—	4313	800+	plan	1789128582625	1789132337917	parent	7.7874	1134	62700	8962735	173290
13ebea34	—	4313	800+	plan	1789128582625	1789132337917	agents	30.6465	1536	437278	84401252	1337241
13ebea34	—	4313	800+	build	1789133380841	1789146933695	parent	54.6941	5778	357222	75598808	793527
13ebea34	—	4313	800+	build	1789133380841	1789146933695	agents	78.1394	5096	1670269	215752915	7310365
13ebea34	—	4313	800+	verify	1789147643982	1789148643156	parent	8.2637	648	37352	13041925	80572
13ebea34	—	4313	800+	verify	1789147643982	1789148643156	agents	12.8132	738	469048	24527888	1286262
13ebea34	—	4313	800+	audit	1789149930711	1789151235582	parent	7.4309	614	52899	8637199	178680
13ebea34	—	4313	800+	audit	1789149930711	1789151235582	agents	2.3600	130	72695	4469712	295550
13ebea34	—	4313	800+	land	1789151954368	1789151954368	parent	0.9540	192	10054	1039858	18174
13f0ab63	—	980	800+	survey	1789452589325	1789453090748	parent	4.1282	54	41287	3475292	135809
13f0ab63	—	980	800+	survey	1789452589325	1789453090748	agents	1.1139	84	27134	1868289	187492
13f0ab63	—	980	800+	design	1789453218197	1789453288299	parent	0.7497	6	10673	527765	21893
13f0ab63	—	980	800+	build	1789453408227	1789473059502	parent	17.8471	206	122672	24133801	271235
13f0ab63	—	980	800+	build	1789453408227	1789473059502	agents	3.5135	190	130424	6923890	329652
13f0ab63	—	980	800+	verify	1789457659473	1789473734820	parent	43.8871	466	239867	58338271	871893
13f0ab63	—	980	800+	verify	1789457659473	1789473734820	agents	15.4128	950	562270	31214778	1418112
13f0ab63	—	980	800+	land	1789473979681	1789473979681	parent	0.4423	4	870	769645	3567
1ad5d010	—	34	<50	survey	1788857195581	1788857195581	parent	5.5757	802	42048	3364118	131215
1ad5d010	—	34	<50	verify	1788857804262	1788857804262	parent	0.1965	64	976	327829	3256
1ad5d010	—	34	<50	land	1788857829989	1788857913807	parent	0.6465	192	4623	1016912	7962
1d12cbbc	0.74.0	13	<50	survey	1789852638434	1789852638434	parent	0.9876	26	7709	593114	49823
25997ee1	0.74.0	6	<50	survey	1789847158428	1789847158428	parent	0.6429	12	3069	210335	46092
25f398b0	0.72.0	338	200-799	survey	1789751332619	1789751396556	parent	4.2839	58	39543	3615422	148731
25f398b0	0.72.0	338	200-799	survey	1789751332619	1789751396556	agents	1.2111	56	50282	1588081	156212
25f398b0	0.72.0	338	200-799	design	1789751705898	1789751836298	parent	1.8402	24	14020	2371593	30383
25f398b0	0.72.0	338	200-799	design	1789751705898	1789751836298	agents	1.7508	64	58188	3793124	164057
